customer_id,ownership,activation_plan_code,mnp_flag,calls_incoming_cnt,calls_outgoing_cnt,calls_incoming_duration,calls_outgoing_duration,total_call_count,total_sum_duration,tot_usage_mb,upload_usage_mb,download_usage_mb,days_since_latch,cnt_open_qrc,avg_days_to_close,cnt_call_drops,pcnt_dropped_calls,rsrp_voice_pcnt_poor_duration,rsrp_data_pcnt_poor_duration,mean_cqi_voice_pcnt_poor_duration,sinr_voice_pcnt_poor_duration,sinr_data_pcnt_poor_duration,age_on_network,cnt_connections,current_plan_code,cnt_recharges_made,total_payment_made,cnt_main_plans_taken,total_main_plans_mrp,cnt_addon_plans_taken,total_addon_plans_mrp,cnt_rchg_offline,cnt_rchg_online,cnt_rchg_on_or_before_expiry,cnt_rchg_after_expiry,current_active_plan_mrp,current_active_plan_validity,last_cycle_plan_mrp,last_cycle_plan_validity,avg_days_bw_rchg_and_expiry,stddev_days_bw_rchg_and_expiry,price_per_day,gb_per_day_quota,pcnt_quota_used,device_avg_asp,recharge_delay
10000,individual,4,1,27.0,11.0,40.38231484681867,14.489126154804785,38.0,54.87144100162346,1153.2130657386065,461.97299597396443,691.2400697646422,2,6,4,1.157731191677163,3.0466610307293767,39.852485057013446,44.518080593080825,34.967788660943775,15.918251002592832,18.064497977050575,411,5,2,43,10824.506743014179,28,7048.516018706907,15,3775.990724307272,21,22,33.0,10.0,128,28,99,15,-0.5624198982737416,2.084082077289022,4.571428571428571,1.0,3.753948781701193,30K_to_50K,-1.3731027595310499
10001,individual,6,0,8.0,307.0,12.247104304045124,350.2553679030937,315.0,362.50247220713885,15275.894107708866,1133.938055600224,14141.956052108642,14,1,6,4.155016968045428,1.319053005728707,15.820151558088524,17.672242547740314,40.37899149851177,76.70335309516291,87.0452141127108,376,6,5,39,9817.575883198906,28,7048.516018706907,11,2769.059864491999,19,20,18.0,21.0,1500,365,300,90,-1.4671726681804964,1.718447231158327,4.109589041095891,3.0,16.57540593284382,50K_above,-0.8507814487145993
10002,corporate,6,0,114.0,1.0,142.9224473466856,1.5178793963039643,115.0,144.44032674298955,3519.23724751721,406.22849813035333,3113.008749386857,5,6,11,2.9998893816509633,2.6085994623051856,62.227963339310186,69.51309267463519,99.79535956875368,6.450771270892699,7.32052438138312,501,7,4,52,13090.101177598543,40,10069.308598152726,12,3020.792579445817,26,26,34.0,18.0,300,90,500,120,-0.31664562505729427,6.71010958038077,3.3333333333333335,1.5,7.63723361006339,10K_to_20K,2.1297219730915087
10003,individual,8,1,125.0,26.0,227.44597215922826,37.815528471040835,151.0,265.2615006302691,23482.452518698912,1428.7127249012096,22053.739793797704,6,3,14,4.927239688374756,3.2630726413077853,74.58655228820923,83.31852182307476,52.468754893675104,17.127056860549157,19.43628630807652,144,2,7,16,4027.72343926109,7,1762.1290046767267,9,2265.594434584363,8,8,9.0,7.0,2999,700,99,15,0.1495294457077727,1.753856593782421,4.284285714285715,4.0,19.110068781493258,20K_to_30K,4.3105253743997896
10004,individual,6,1,51.0,126.0,69.48563008199041,152.7453941142776,177.0,222.23102419626798,17154.688281078794,3566.6190279956763,13588.069253083117,8,5,6,7.617906728895249,4.3039021067204795,89.50730866216506,99.98607552305646,5.326692890961803,81.22591071963932,92.17754511095559,528,1,4,55,13845.299322459996,29,7300.2487336607255,26,6545.05058879927,27,28,20.0,35.0,99,15,300,90,0.5399485395567064,1.8781655604078105,6.6,0.5,111.68416849660674,less_10K,-5.146368812979429
10005,corporate,8,0,34.0,43.0,47.89397055723922,84.75773948813485,77.0,132.65171004537407,2284.1519713975667,1239.6582792694794,1044.4936921280876,4,2,10,1.2318638279002052,1.5998231531171498,10.215960768826672,11.411959986729626,7.171196630617393,71.76014526598635,81.43551692828045,719,2,1,73,18376.488191628723,34,8558.912308429815,39,9817.575883198908,36,37,62.0,11.0,99,15,1500,365,0.37079564093740736,0.8560567993823222,6.6,0.5,14.870781063786241,30K_to_50K,-5.58928793334523
10006,individual,9,0,82.0,18.0,114.67517111733765,26.572415876785332,100.0,141.247586994123,3414.4215753431663,1420.6273693110863,1993.7942060320797,4,7,14,6.198906028258651,6.19890602825865,26.85939153688196,30.00386438660978,13.542610861209747,44.39646632810935,50.38241173868235,431,4,7,45,11327.972172921814,20,5034.654299076363,25,6293.317873845452,22,23,10.0,35.0,300,90,300,90,-1.8723092206308631,0.9933903029710334,3.3333333333333335,1.5,7.409769043713469,30K_to_50K,13.194939462352838
10007,individual,7,1,5.0,10.0,6.910047668801072,19.63051624631072,15.0,26.54056391511179,19210.216069063223,1053.135565431279,18157.080503631943,1,5,9,0.5929971622509416,3.953314415006277,73.5601204497075,82.17192393226938,25.862054706191074,39.96401830650062,45.35233975987698,487,3,7,51,12838.368462644725,18,4531.188869168726,33,8307.179593475998,25,26,18.0,33.0,500,120,500,120,-1.9439050043466066,1.0625690683088147,4.166666666666667,2.0,31.266627716574256,30K_to_50K,-0.16280663669546858
10008,individual,1,1,179.0,51.0,253.1042865367116,77.16231661618643,230.0,330.266603152898,43152.80887081736,1547.3335343150907,41605.47533650227,10,5,4,6.499156058229349,2.825720025317108,41.132333992916855,45.94776353491006,32.71957531511687,68.00612583162444,77.17534560249891,861,4,8,88,22152.478915935993,66,16614.359186951995,22,5538.119728983998,44,44,86.0,2.0,128,28,2999,700,-2.702291136758892,3.2275566867321706,4.571428571428571,1.0,140.47138304302524,20K_to_30K,-24.785595855537732
10009,individual,3,0,5.0,123.0,8.040376099769638,198.6975437598926,128.0,206.73791985966224,770.2991845867256,173.8911025424021,596.4080820443235,5,2,8,3.298736972573074,2.577138259822714,7.136473943444966,7.971952607477196,88.0127729020532,69.03556941919994,78.34358837001251,542,2,7,56,14097.032037413814,13,3272.5252943996356,43,10824.506743014179,28,28,45.0,11.0,300,90,99,15,1.0936275649947054,0.15079587693066146,3.3333333333333335,1.5,1.6716562165510538,less_10K,6.9073967048481295
